Номер сертификата происхождения,Наименование РПП,Форма сертификата,Номер бланка,ИИН/БИН отправителя/ экспортера,Наименование отправителя/ экспортера,Адрес отправителя/ экспортера,Наименование товара,Код ТН ВЭД,Критерий происхождения,Страна происхождения товара,Страна получателя/ импортера,Статус сертификата,Дата выдачи,3/20/2025
KZ RS 5 106 00353,"РПП ""Региональная палата предпринимателей Атырауской области""",СТ-2,4000965,80340021186.0,Kazakhstan Petrochemical Industries Inc.,"Republic of Kazakhstan, Atyrau region, Atyrau city, Atyrau-Dossor highway, building 295, 060000","Polypropylene PP H030GP/7 
Code as per 3902100000",3902100000,"Y12,89%",Республика Казахстан,Serbia,Действующий,24.2.2025,24.02.2026
KZ RS 5 109 00447,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800013,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09 “BASIC” (order № 24/2024)
Gross weight/ Net weight  	20632,50/18742,50kg



",6305321900,"Y 47,0",Республика Казахстан,Serbia,Действующий,19.2.2025,19.02.2026
KZ RS 5 111 01048,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-2,4000604,120440003348.0,Smart Trade LIMITED LIABILITY PARTNERSHIP,"Kostanay, Uzkokoleinnaya, street 9",Buckwheat,1008100009,P,Республика Казахстан,Serbia,Действующий,12.2.2025,12.02.2026
KZ RS 5 109 00382,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800012,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 131,5х270/7d1а-0,09  “BASIC” (order № 3/2025)
Gross weight/ Net weight  	20632,5/18742,5kg



",6305321900,"Y 45,54",Республика Казахстан,Serbia,Действующий,12.2.2025,12.02.2026
KZ RS 5 109 00365,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800011,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09  “BASIC” (order № 2/2025)
Gross weight/ Net weight  	20475,00/18585,00kg



",6305321900,"Y 45, 5",Республика Казахстан,Serbia,Действующий,12.2.2025,12.02.2026
KZ RS 5 111 00964,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-2,4000603,120440003348.0,Smart Trade LIMITED LIABILITY PARTNERSHIP,"Kostanay, Uzkokoleinnaya, street 9",Buckwheat,1008100009,P,Республика Казахстан,Serbia,Действующий,10.2.2025,10.02.2026
KZ RS 5 109 00294,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800010,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09 “BASIC” (order № 24/2024)
Gross weight/ Net weight  	20632,50/18742,50kg



",6305321900,"Y 43,88",Республика Казахстан,Serbia,Действующий,5.2.2025,05.02.2026
KZ RS 5 109 00179,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800009,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09 “BASIC” (order № 25/2024)
Gross weight/ Net weight  	20632,50/18742,50kg



",6305321900,"Y 47,22",Республика Казахстан,Serbia,Действующий,24.1.2025,24.01.2026
KZ RS 5 109 00139,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800008,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 

130х270/7d1а-0,09 “BASIC” 
(order № 27/2024)
Gross weight/ Net weight  	
16702,50/15172,50kg",6305321900,"Y 47,51",Республика Казахстан,Serbia,Действующий,21.1.2025,21.01.2026
KZ RS 5 109 00139,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800008,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 
130х270/7d1а-0,09 “CALFERT ” 
(order № 26/2024)
Gross weight/ Net weight  	
342,50/297,50kg",6305321900,"Y 47,51",Республика Казахстан,Serbia,Действующий,21.1.2025,21.01.2026
KZ RS 5 109 00139,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800008,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers
800С1-125х215/600-5/41-10-40; 
130х270/7d1а-0,09 “AGRONOM ” 
(order № 26/2024)
Gross weight/ Net weight  	
3290,00/2975,00kg",6305321900,"Y 47,51",Республика Казахстан,Serbia,Действующий,21.1.2025,21.01.2026
KZ RS 5 109 00089,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800007,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09  “BASIC” (order № 23/2024)
Gross weight/ Net weight  	20475,00/18585,00kg



",6305321900,"Y 41,35",Республика Казахстан,Serbia,Действующий,16.1.2025,16.01.2026
KZ RS 4 108 07385,"РПП ""Региональная палата предпринимателей Жамбылской области""",СТ-2,1400067,991040000313.0,«Kazphosphate» LLP,"Zhamal Omarova St, 8,  Medeu district, Almaty, Kazakhstan",MAP 10:46 IN BULK,3105590000,Y 8%,Республика Казахстан,Serbia,Действующий,25.12.2024,25.12.2025
KZ RS 4 111 06725,"РПП ""Региональная палата предпринимателей Костанайской области""",СТ-2,4000602,120440003348.0,Smart Trade LIMITED LIABILITY PARTNERSHIP,"Kostanay, Uzkokoleinnaya, street 9",Buckwheat,1008100009,P,Республика Казахстан,Serbia,Действующий,19.12.2024,19.12.2025
KZ RS 4 109 04792,"РПП ""Региональная палата предпринимателей Западно-Казахстанской области""",СТ-2,1800006,221240039971.0,PACKAGING SYSTEMS LLP,"Kazakhstan , Uralsk, N.Nazarbayev Ave., 215,tel.+77782933677","Flexible intermediate bulk containers 
800С1-125х215/600-5/41-10-40; 130х270/7d1а-0,09  “BASIC” (order № 22/2024)
Gross weight/ Net weight  	20475,00/18585,00kg



",6305321900,"Y 41,7",Республика Казахстан,Serbia,Действующий,19.12.2024,19.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Molded products, planed profiled
softwood from larch, grade CD,
humidity 14-18%: 
Deck board, Thick. 28 mm, 
Width 140 mm, L 4 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, Thick. 28 mm, 
Width 140 mm, L 3 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, Thick. 28 mm, 
Width 140 mm, L 2,5 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, Thick. 28 mm, 
Width 140 mm, L 2 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Deck board, Thick. 28 mm, 
Width 120 mm, L 3 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, Thick. 20 mm, 
Width 140 mm, L 3 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, Thick. 20 mm, 
Width 140 mm, L 2,5 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, Thick. 20 mm, 
Width 140 mm, L 4 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, Thick. 20 mm, 
Width 140 mm, L 3,5 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Straight planken board, Thick. 20 mm, 
Width 140 mm, L 2 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Wooden block (bar), Thick. 30 mm, 
Width 45 mm, L 3 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
KZ RS 4 114 03991,"РПП ""Региональная палата предпринимателей Павлодарской области""",СТ-2,1400372,221040010827.0,Pavlodar Energo Kurylys LLP,"Kazakhstan, 140000, Pavlodar, Administrative town, building 40/7","Wooden block (bar), Thick. 30 mm, 
Width 45 mm, L 4 m",4409101800,Y44%,Республика Казахстан,Serbia,Действующий,9.12.2024,09.12.2025
