bin_iin,manufacturer_name,legal_address,actual_address,phone,email,website,date_included_in_the_registry,date_of_change,number_of_employees,oced_code,kato,production_capacity
080640020139,"Товарищество с ограниченной ответственностью ""Guidejet TI"" (Гайджет ТиАй)","Казахстан, город Алматы, Ауэзовский район, Микрорайон Астана, дом 7/1, почтовый индекс 050000",,,,,,,,,,
070540000901,"ТОО ""Инжиниринговая Компания ""МунайГаз""","Z10Y4X3, Республика Казахстан, г.Астана, ул. Сейфуллина, 4/2, офис ВП-4",,,,,,,,,,
170840010287,ТОО «KC-Link»,"г. Алматы, мкр. №1, дом 68/3, офис 181",,,,,,,,,,
031140003124,"ТОО ""KARLSKRONA LC AB""","Республика Казахстан, город Шымкент, район Каратау, Жилой массив Тассай, здание 105",,,,,,,,,,
181240021582,"ТОО ""Производственная Компания ЦелинМаш""","Республика Казахстан, г. Астана, р-н Байконур, ул.Ж.Омарова 111 кабинет 1",,,,,,,,,,
930940000154,"ТОО ""КІТАП""","Республика Казахстан, г. Шымкент, Аль-Фарабийский р-н, микрорайон Отырар, дом 138",,,,,,,,,,
130340002716,"ТОО ""КАЗФИТИНГПЛАСТ""","Республика Казахстан, 101200, Карагандинская область, город Сарань, улица Чкалова, 2/4",,,,,,,,,,
190840008556,"ТОО ""QazTehna""","Карагандинская  область, г. Сарань, учетный квартал 046 строение 329, 101200",,,,,,,,,,
210140036790,ТОО «Айдана78»,"Республика Казахстан,г. Астана, район Есиль,  ул.  Сарайшык, дом 34, кв. 136",,,,,,,,,,
160940016446,"ТОО ""Delta inc""","100000, Карагандинская область г. Караганда, улица Ерубаева, дом 44Д, кв. 90",,,,,,,,,,
211140030477,ТОО «Alem kz stroy»,"Республика Казахстан, Жамбылская область, г.Тараз, ул.Желтоксан, дом 238",,,,,,,,,,
041040000089,"ТОО ""БАСТАУ СНАБ""","Жамбылская область, г. Тараз, улица Желтоксан, дом 88А, кв.6
Адрес производства: Жамбылская обл, р.Кордайский, с.о Касыкский, с. Альжан ана, ул. Иван Мичурин, ст-е 19А.",,,,,,,,,,
100140013868,"ТОО ""КазПолимер""","РК, г.Жезказган, ул.Казахстан, Улытау область, г.Жезказган, улица Газиза Омарова, здание 7, почтовый индекс 100600",,,,,,,,,,
040940005684,"ТОО ""Сталь Трейд - НС""","Республика Казахстан, город Астана, район Байконыр, Жилой массив Өндіріс, улица Кеңшағыл, здание 2/1",,,,,,,,,,
080140014929,"ТОО ""BEKTRANS LTD""","Мангистауская область, город Жанаозен, Промышленная зона 2, строение 14А",,,,,,,,,,
240440007033,ТОО «IronTech»,"Республика Казахстан, Актюбинская обл., г. Актобе, район Астана, Переулок Алмазный 6",,,,,,,,,,
200340021573,"Общественное объединение ""Общество инвалидов ""Қазығұрт Бауырлары""","Республика Казахстан, Туркестанская область, Казыгуртский район, сельский округ Казыгурт, село Казыгурт, улица М.Макатаев, дом 18",,,,,,,,,,
931240000335,"АО ""Химфарм""","Республика Казахстан, г.Шымкент, Аль-Фарабийский район, ул.Рашидова, здание 81",,,,,,,,,,
041240001193,ТОО Standard Steel KZ,"Казахстан, город Шымкент, Аль-Фарабийский район, улица Толе би, здание 25",,,,,,,,,,
000940003701,"ТОО ""ГРИН ЛАНД""","Казахстан, город Алматы, Бостандыкский район, Микрорайон Нур Алатау, улица Утегенова, дом 2Б,",,,,,,,,,,
170440017686,"ТОО ""KazlatinTrade""","Республика Казахстан, г. Астана, ул Р. Кошкарбаева ВП 28",,,,,,,,,,
140640012746,ТОО «КазахМедИмпорт»,"Казахстан, Северо-Казахстанская область, город Петропавловск, улица Имени Мухтара Ауэзова,  строение 264/1, почтовый индекс 150000",,,,,,,,,,
950640000404,"Акционерное общество ""Актюбинский завод хромовых соединений""","Казахстан, Актюбинская область, г.Актобе, район Астана ,квартал Промзона, дом 15Б, почтовый индекс 030015",,,,,,,,,,
010840000039,"ТОО ""Силумин-Восток""","Республика Казахстан, г. Усть-Каменогорск, ул. Қалихан Ысқак 10",,,,,,,,,,
910113400744,"Индивидуальный предприниматель ""MN-TEX""","Туркестанская обл., г. Кентау ,  160400, ул.С.Муканов, 16",,,,,,,,,,
160340022588,"ТОО ""Завод элеваторного оборудования ""АСТЫК"",","Казахстан, Костанайская область, город Костанай, улица Уральская, дом 20А, почтовый индекс 110007",,,,,,,,,,
180740006683,"ТОО ""iMAK Trade""","Аккольский р-н., г. Акколь, ул. Гагарина, зд. 27В",,,,,,,,,,
940140000147,"АО ""Аралтуз""","120108, Республика Казахстан, Кызылординская обл., Аральский р-н,
п .Жаксыкылыш, ул. Менделеева, здание 1В",,,,,,,,,,
190440040525,"Общественное объединение инвалидов ""SMK-Optimism"" Республика Казахстан","г.Караганда, район им.Казыбек би, ул.Коммунальная, д.10",,,,,,,,,,
060440013105,"ТОО""KAZAKHSTAN BUILDINGS-I""","071411,РК , область Абай , г.Семей, ул. Глинки, 73А",,,,,,,,,,
160340027390,ТОО Жайык Бетон Индустрия,"Юрид.адрес: РК, Алматинская обл., г. Талгар ул. Казангап, д.19 Адрес производства: Атырауская обл., г. Атырау, район ДСК «Мобиль», ул.Құттығай Батыр, строение 5/5",,,,,,,,,,
050640000367,ТОО «Format Mach Company» Инжиниринг маркетинговая Компания,"Республика Казахстан, Павлодарская область, город Павлодар, улица Космонавтов, дом 1, почтовый индекс 140000",,,,,,,,,,
921040000599,Атырауское УПП ОО КОГ,"Республика Казахстан, г. Атырау, ул.Фролова7",,,,,,,,,,
751213301986,ИП ПАНЮКОВ Е.В.,"Казахстан,  Абай область, Бескарагайский район, с.Бескарагай, ул.М.Ауэзова, д.4",,,,,,,,,,
140540019056,"ТОО ""Завод промышленных сит ПМК""","Республика Казахстан, Павлодарская область, г. Павлодар, Промышленная зона Северная, строение 174, почтовый индекс 140000",,,,,,,,,,
190640020934,ТОО «DEX company»,"Республика Казахстан, Западно-Казахстанская область, г. Уральск, ул. Сундеткали Есқалиева, д. 177",,,,,,,,,,
190340018068,"ТОО ""КазПожПром""","РК, Актюбинская область, город Актобе, район Астана, квартал Промзона, дом 261",,,,,,,,,,
230540026612,ТОО «NAT STARK»,"г. Астана, район Сарыарка, улица Сәкен Сейфуллин, дом 12, кв. 52, Республика Казахстан.",,,,,,,,,,
000640000457,ТОО «P.E.T»,"Республика Казахстан, 010000, город Астана, район Сарыарка, ул. Көктал, дом 15",,,,,,,,,,
170440020666,"Товарищество с ограниченной ответственностью ""Steelman"" (СтилМэн)","060000, Республика Казахстан, Атырауская область, город Атырау, Промышленная зона Оңтүстік, строение 2",,,,,,,,,,
030840003236,"ТОО ""Электрокомплект-1""","Республика Казахстан, г. Шымкент, 
ул. Байдукова, дом 43 А",,,,,,,,,,
940440000405,АО «Нобел Алматинская Фармацевтическая Фабрика»,"г. Алматы, ул. Шевченко, 162Е",,,,,,,,,,
980440003803,"ТОО ""Олжас""","РК, ВКО, г.Семей, Западный промузел",,,,,,,,,,
020640004572,"Товарищество с ограниченной ответственностью ""Семипалатинская обувная фабрика""","Республика Казахстан,область Абай,071403 г. Семей, ул. Каржаубайулы, дом 146 А",,,,,,,,,,
950140000337,"ТОО ""Казторгтехника""","Республика Казахстан, область  Жетісу, г.Талдыкорган, ул.Покрышкина, ст-е 25.",,,,,,,,,,
171140003251,"ТОО ""Риддерский завод горно-шахтного оборудования","Казахстан, область Восточно-Казахстанская, город Риддер, проспект Абая 65/8, почтовый индекс 071300",,,,,,,,,,
010940003672,"ТОО "" ТК Метакон""","Республика Казахстан, область Жетiсу, г.Талдыкорган, ул.Абылайхана, д.355",,,,,,,,,,
200640017047,ТОО БАТЫС МЖБК,"Казахстан, Актюбинская область, город Актобе, район Астана, квартал Промзона, строение 471,",,,,,,,,,,
040640000890,АО “Актюбинский завод нефтяного оборудования”,"Республика Казахстан, 030000, Актюбинская область, г. Актобе, пр. 312-й Cтрелковой дивизии, 42/4",,,,,,,,,,
160240018665,Казахстанское Промышленное Предприятие,"Республика Казахстан, Восточно-Казахстанская область, г. Усть-Каменогорск, пр. Абая, 181",,,,,,,,,,
090640003498,"ТОО ""СКЭП"" Республика Казахстан
","Карагандинская обл, г. Сарань, 
ул. Кужанова, д4а",,,,,,,,,,
230140040851,ТОО «SeoNika»,"110700, РК, Костанайская область, Житикаринский район, г. Житикара, 2 мкр., д.23.",,,,,,,,,,
100840015592,"ТОО ""АСЭП""","Республика Казахстан, г.Караганда, ул.Штурманская 19 Б",,,,,,,,,,
141040026340,"ТОО ""Логос Инжениринг""","Казахстан, Карагандинская область, город Сарань, улица Жангали Кужанова, дом 2, почтовый индекс 101200",,,,,,,,,,
981140000395,Товарищество с ограниченной ответственностью «Промэнергоизоляция»,"Республика Казахстан, Павлодарская область, город Экибастуз, улица Косыма Пшенбаева, строение 2А, почтовый индекс 141200",,,,,,,,,,
231140028835,ТОО «АЙС Prof»,"Республика Казахстан, город Шымкент Аль-Фарабийский район, улица АДИЛА САСБУХАЕВА, здание 119",,,,,,,,,,
220640029857,"Товарищество с ограниченной ответственностью ""Reimann"" (Райманн)""","Казахстан, Северо-Казахстанская область, город Петропавловск, улица Парковая, строение 57А, почтовый индекс 150000",,,,,,,,,,
991040002924,"ТОО ""Ай-Ар""","РК, область Абай, г.Семей,ул.К. Жанатайулы 1/1",,,,,,,,,,
170440010420,ТОО Kaz Tech СЕЛЬМАШ,"020000, Республика Казахстан, Акмолинская область, город Кокшетау, улица Сабатаева 82/160",,,,,,,,,,
930440000949,Товарищество с ограниченной ответственностью  «Контакт»,"Республика Казахстан, 140000, Павлодарская область, город Павлодар, улица Малайсары батыр, дом 43, кв. 48",,,,,,,,,,
971240001157,ТОО «Мерген ЛТД»,"Казахстан, Актюбинская область, г.Актобе, район Астана, пр-т Абилкайыр Хана, дом 18А.",,,,,,,,,,
100740015093,ТОО «Sigma Corporation»,"101200, Республика Казахстан, Карагандинская обл., г. Сарань,ул.Макаренко, 1А",,,,,,,,,,
210340016743,ТОО «Atyrau Oil Service»,"060000, Республика Казахстан, Атырауская обл. , г.Атырау, пр.Мухтар Ауэзова 66",,,,,,,,,,
121040016607,"ТОО ""ПО Глобал-Спецодежда""","город Актобе, район Астана, Жилой массив Юго-запад, улица Мырзалы Сартаева, здание 3.",,,,,,,,,,
031040004337,"ТОО ""АЛЬЯНС-MEDICA""","Республика Казахстан, 070010, ВКО, г.Усть-Каменогорск, улица Серикбаева 27",,,,,,,,,,
170740026299,"ТОО ""Ультрамедтех KZ""","РК, СКО, г.Петропавловск, проезд  5 Сенной, 59",,,,,,,,,,
140640016411,"Товарищество с ограниченной ответственностью ""Юникс-BEVERAGE""","Республика Казахстан, г. Шымкент, Каратауский р-н, жилой массив Сайрам, здание 11/3.",,,,,,,,,,
980240000534,"ТОО ""Компания ФудМастер-Шымкент""","Туркестанская область, Толебийский район, село Коксаек, улица Толе би, 535",,,,,,,,,,
110140017149,"ТОО ""Медстарэкспорт""","Республика Казахстан, Атырауская область, г.Атырау, ул.Гайдара 9",,,,,,,,,,
180440024777,"ТОО ""АрЫс Energy""","Республика Казахстан,  Атырауская область, г. Атырау, улица Адмирал Лев Владимирский, дом 97",,,,,,,,,,
061040004362,Товарищество с ограниченной ответственностью «Хиллари Ассетс в Казахстане»,"101 407 Республика Казахстан, Карагандинская область, г. Темиртау, ул. Республики 1/2.",,,,,,,,,,
100340001227,ТОО «ELECMET LTD»,"Республика Казахстан, 010000  город Астана, район Сарыарка,  проспект Женис, дом 51/1, кв. 4",,,,,,,,,,
190740008403,"Товарищество с ограниченной ответственностью ""Qazaq Innovation Technology - M""","Казахстан, город Астана, район Байконыр, улица Кенесары, здание 79/1",,,,,,,,,,
220440039490,ТОО «КазСпецИзделие»,"Республика Казахстан, г. Астана, район Алматы, ул. Бейімбет Майлин, дом 29, кв.22",,,,,,,,,,
830316401045,ИП Кайыпова,"РК, г. Шымкент, ул.1мая, №29",,,,,,,,,,
860205450263,"ИП ""АгроСтрой""","Республика Казахстан, Акмолинская область, г. Кокшетау, ул. Уалиханова 183Е
",,,,,,,,,,
990540002098,ТОО Топан,Западно-Казахстанская обл. г. Уральск ул.Ружейникова 11,,,,,,,,,,
000440004704,ПК «Уральский литейно-механический завод»,"РК, ЗКО, г. Уральск,  ул. Даля, 2",,,,,,,,,,
010740002885,"ТОО ""Мерусар и К""","Республика Казахстан, Павлодарская область, г. Павлодар, ул. Чайковского, дом 5, почтовый индекс 140011",,,,,,,,,,
950440000010,"Акционерное общество ""Кокшетауские минеральные воды""","Республика Казахстан, Акмолинская область, город Кокшетау, Проезд 11, дом уч. 54/1
",,,,,,,,,,
650327401176,"ИП ""Айгул""","РК, г. Петропавловск, ул. Театральная, 49 Б",,,,,,,,,,
100840014752,"ТОО ""Актобе нефтепереработка""","Актобе, район Астана, ж.м. Сазды 401, 030000",,,,,,,,,,
160340005845,"ТОО ""Business Partner Group""","Республика Казахстан, г.Шымкент, Каратауский район, улица Куаныш Тулеметова, дом 69/32, кв. 16",,,,,,,,,,
990340000014,"ТОО ""Кызылординское учебно-производственное предприятие общественного Объединения ""Казахское общество слепых""","РК, г. Кызылорда, ул. А.Иманов, зд. 67А",,,,,,,,,,
050740006092,"ТОО ""Георгиевский завод насосного оборудования""","Казахстан,  Абай область, Жарминский район, село Калбатау, ул Кабанбая 104",,,,,,,,,,
