Код РПП,Наименование РПП,Номер сертификата происхождения,Номер бланка,Год выдачи,Цель получения сертификата,Категория,ИИН/ БИН производителя,Наименование производителя,Адрес производителя,Наименование товара,Код ТН ВЭД,Код КП ВЭД,Количество товара,Единица измерения,Код единицы измерения,Критерий происхождения,ДВЦ,ИИН/БИН получателя,Наименование получателя,Адрес получателя,Дата окончания действия сертификата,Статус сертификата,Дата выдачи
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0012A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,15,шт,796,Д8421,"73,6",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0012A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,15,шт,796,Д8421,"80,17",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0013A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"76,13",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0013A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"79,88",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0014A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"83,3",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0015A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"81,59",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0016A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,10,шт,796,Д8421,"78,46",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0017A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"89,94",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0018A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,45,шт,796,Д8421,"84,08",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0018A-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,85,шт,796,Д8421,90,-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0019A СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,45,шт,796,Д8421,"81,71",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0019A/1 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"83,53",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0019A/2 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"77,7",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0019A/3 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"77,68",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0020А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"76,95",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0020А-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"78,09",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0021А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"74,14",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0022А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,60,шт,796,Д8421,"73,57",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0022А-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,60,шт,796,Д8421,"80,75",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0023А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,75,шт,796,Д8421,"73,25",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0024А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,70,шт,796,Д8421,"81,24",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0025А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"72,71",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0025А-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,20,шт,796,Д8421,"82,28",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0026А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"73,49",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0026А-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"77,26",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0027А СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,50,шт,796,Д8421,"75,29",-,-,-,27.03.2026,Действующий,27.03.2025
120,Палата предпринимателей области Ұлытау,KZ 5 120 00012,2310478.0,2025,Для подтверждения страны происхождения товара и доли внутристрановой ценности,на серийное производство товара,110440012951,"ТОО ""Казтехфильтр""","200000, РК, обл. Ұлытау, г. Жезказган, ул. Желтоксан, 19",Фильтр воздушный двигателя внутреннего сгорания KTF-0027А-01 СТ 110440012951-ТОО-01-2024 Фильтры и фильтрующие элементы двигателя внутреннего сгорания,8421990006,28.29.82,70,шт,796,Д8421,"77,03",-,-,-,27.03.2026,Действующий,27.03.2025
