Регистрационный номер индустриального сертификата,БИН/ИИН,"Наименование производителей товаров, работ, услуг","Вид деятельности согласно ОКЭД (перв, вторич.)",Регион согласно КАТО,Юридический адрес,Почтовый (фактический) адрес,Почтовый (фактический) адрес материально-технической базы,Телефон,Электронный адрес,Web - сайт,"Наименование товаров (категория), работ, услуг","Производственная мощность, кол-во единиц в год",ТН ВЭД ЕАЭС,КП ВЭД,Номер документа об оценке соотвествия,Дата выдачи документа об оценке соотвествия,Дата окончания документа об оценке соотвествия,Номер и дата лицензии или разрешения,Количество сотрудников,Дата включения в Реестр,Дата внесения изменений и/или дополнений,"Дата проведения актуализации сведений, указанных в Реестре"
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Фартук хлопчатобумажный поварской   - 1 Категория,369000,6211321000,14.12.30,KZ.7500651.01.01.06222,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Колпак хлопчатобумажный поварской  - 1 Категория,394000,6505908000,32.99.11,KZ.7500651.01.01.06221,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Халат хлопчатобумажный поварской  - 1 Категория,49000,6211321000,14.12.30,KZ.7500651.01.01.06222,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Белье нательное (Рубаха кальсоны)  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06214,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Белье нательное теплое (Рубаха кальсоны)  - 1 Категория,98000,6207910000,14.14.22,KZ.7500651.01.01.06214,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Портянки летние  - 1 Категория,738000,6307909900,14.19.32,KZ.7500651.01.01.06215,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Портянки зимние  - 1 Категория,738000,6307909900,14.19.32,KZ.7500651.01.01.06215,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Платок носовой солдатский  - 1 Категория,1180000,6213200000,14.19.32,KZ.7500651.01.01.06216,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Тельняшка МЧ - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06213,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Тельняшка хлопчатобумажная  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06213,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Тельняшка теплая  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06213,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Тельняшка безрукавка  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06213,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Кальсоны нательные летние  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06214,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Кальсоны нательные теплые  - 1 Категория,118000,6207910000,14.14.22,KZ.7500651.01.01.06214,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Воротник форменный  - 1 Категория,393000,6307909900,14.19.32,KZ.7500651.01.01.06218,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
102 0 00089,370340000015,"Учреждение ""Алматинское учебно-производственное предприятие №1"" Общественного объединения ""Казахское общество глухих""",88100,751510000,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,Республика Казахстан город Алматы проспект суюнбая 55,77475633170,uppkog1@mail.ru,uppkog1@mail.ru,Подворотнички хлопчатобумажные  - 1 Категория,1968000,6307909900,14.19.32,KZ.7500651.01.01.06217,2019.10.31,2020.10.31,-,68,2020.08.14,-,-
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Подушка с наполнителем синтепон - І категория,6552,9404909000,13.92.24,KZ.7100317.24.01.03404,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Одеяло синтепоновое - І категория,8736,9404909000,13.92.24,KZ.7100317.24.01.03404,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Матрас ватный - І категория,4368,9404909000,13.92.24,KZ.7100317.24.01.03403,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,"Комплект постельного белья, хлопчатобумажные - І категория",6552,6302210000,13.92.12,KZ.7100317.22.01.00148,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Полотенце вафельное - І категория,13104,6302600000,13.92.14,KZ.7100317.22.01.00149,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Наволочка - І категория,13104,6302210000,13.92.12,KZ.7100317.22.01.00148,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Простыня - І категория,13104,6302210000,13.92.12,KZ.7100317.22.01.00148,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Пододеяльник - І категория,8736,6302210000,13.92.12,KZ.7100317.22.01.00148,2019.10.23,2022.10.23,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Работа по пошиву одежды,4368,-,14.12.99,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Услуги по пошиву одежды,4368,-,14.12.99,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,"Услуги в области производства изделий текстильных готовых, кроме одежды",4368,-,13.99.99,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,Услуги в области производства матрасов,4368,-,31.03.99,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,"Отходы потребления текстильные хлопчатобумажные (Ветошь), тряпка для мытья полов, посуды, удаления пыли и аналогичные протирочные материалы- І категория",70000,6307101000,13.92.29,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,"Отходы потребления текстильные хлопчатобумажные (Ветошь), тряпка для мытья полов, посуды, удаления пыли и аналогичные протирочные материалы - І категория",70000,6307109000,13.92.29,-,-,-,-,43,2020.08.17,-,2022.08.31
113 0 00014,941240000321,"ТОО ""Актауское учебно производственное предприятие общественного объединения казахского общества слепых",94990,471010000,"Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40/1","Республика Казахстан Мангистауская область г Актау Промзона 6, здание 40 /1",77029017830,aktauuppkos@mail.ru,aktaukos.kz,"Отходы потребления текстильные хлопчатобумажные (Ветошь), тряпка для мытья полов, посуды, удаления пыли и аналогичные протирочные материалы - І категория",70000,6307103000,13.92.29,-,-,-,-,43,2020.08.17,-,2022.08.31
115 0 00012,160240028444,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",28301,591010000,"Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.",77084320104,704ptz@mail.ru,kz-ptz.kz,Трактор колесный К-704-4Р «Батыр СК» 1 категория,80,8701201090,28.30.23,TC N RU Д-KZ.АЛ16.В.51299,2016.07.11,2021.07.10,-,42,2020.08.18,-,2021.09.29
115 0 00012,160240028444,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",28301,591010000,"Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.",77084320104,704ptz@mail.ru,kz-ptz.kz,Бульдозер колесный универсальный К-704Б-БКУ «Батыр СК» 1 категория,70,8429190009,28.92.21,TC N RU Д-KZ.АЛ16.В.54993,2016.09.28,2021.09.27,-,42,2020.08.18,-,2021.09.29
115 0 00012,160240028444,"Товарищество с ограниченной ответственностью ""Совместное предприятие ""Петропавловский Тракторный Завод""",28301,591010000,"Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.","Республика Казахстан, Северо-Казахстанская область, город Петропавловск, проезд Я. Гашека, д. 1.",77084320104,704ptz@mail.ru,kz-ptz.kz,"Снегоочиститель фрезерно-роторный К-704-4Р-ОС «Батыр СК»
1 категория",3,8430200000,28.92.30,ТС N RU KZ.АУ40.В.27941,2016.07.06,2021.07.05,-,42,2020.08.18,-,2021.09.29
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол лабораторный для кабинета химии 1 категория,200,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол лабораторный для кабинета биологии 1 категория,200,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол демонстрационный 1 категория,256,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол с двумя тумбами 1 категория,452,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,стол приставка 1 категория,365,9403301900,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
115 0 00006,120340017336,ТОО Trans Motors Group,31020,595200000,Северо-Казахстанская область.г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,Северо-Казахстанская область г Мамлютка ул Калинина 102,77711307771,agaponenko79@mail.ru,mebelnyy.trans@mail.ru,шкаф многофункциональный 1 категория,497,9403309100,31.01.12,KZ.5910317.22.01.00040,2020.03.04,2021.03.04,-,22,2020.10.12,-,2023.03.13
